Serial Floating Division: 1-bit sign, 8-bit exponent, and 23-bit mantissa with 19909 cycles and 139 cells total.
Supports only signed numbers.

Inputs:
	 xs (1-bit): 0 
	 xe (8-bit): 1 2 3 4 5 6 7 8 
	 xm (23-bit): 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 
	 ys (1-bit): 32 
	 ye (8-bit): 33 34 35 36 37 38 39 40 
	 ym (23-bit): 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 
Outputs:
	 zs (1-bit): 64 
	 ze (8-bit): 65 66 67 68 69 70 71 72 
	 zm (23-bit): 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 

T0:  	99  = INIT1
T1:  	99  = NOT(1)
T2:  	99  = NOT(2)
T3:  	99  = NOT(3)
T4:  	99  = NOT(4)
T5:  	99  = NOT(5)
T6:  	99  = NOT(6)
T7:  	99  = NOT(7)
T8:  	99  = NOT(8)
T9:  	96  = INIT1
T10: 	96  = NOT(99)
T11: 	99  = INIT1
T12: 	99  = NOT(33)
T13: 	99  = NOT(34)
T14: 	99  = NOT(35)
T15: 	99  = NOT(36)
T16: 	99  = NOT(37)
T17: 	99  = NOT(38)
T18: 	99  = NOT(39)
T19: 	99  = NOT(40)
T20: 	97  = INIT1
T21: 	97  = NOT(99)
T22: 	99  = INIT0
T23: 	129 = INIT0
T24: 	132 = INIT1
T25: 	133 = INIT1
T26: 	133 = NOT(41)
T27: 	134 = INIT1
T28: 	134 = NOR(9, 133)
T29: 	135 = INIT1
T30: 	135 = NOR(9, 134)
T31: 	136 = INIT1
T32: 	136 = NOR(133, 134)
T33: 	137 = INIT1
T34: 	137 = NOR(135, 136)
T35: 	135 = INIT1
T36: 	135 = NOR(137, 132)
T37: 	136 = INIT1
T38: 	136 = NOR(135, 137)
T39: 	137 = INIT1
T40: 	137 = NOR(135, 132)
T41: 	131 = INIT1
T42: 	131 = NOR(137, 136)
T43: 	132 = INIT1
T44: 	132 = NOR(134, 135)
T45: 	133 = INIT1
T46: 	133 = NOT(42)
T47: 	134 = INIT1
T48: 	134 = NOR(10, 133)
T49: 	135 = INIT1
T50: 	135 = NOR(10, 134)
T51: 	136 = INIT1
T52: 	136 = NOR(133, 134)
T53: 	137 = INIT1
T54: 	137 = NOR(135, 136)
T55: 	135 = INIT1
T56: 	135 = NOR(137, 132)
T57: 	136 = INIT1
T58: 	136 = NOR(135, 137)
T59: 	137 = INIT1
T60: 	137 = NOR(135, 132)
T61: 	103 = INIT1
T62: 	103 = NOR(137, 136)
T63: 	132 = INIT1
T64: 	132 = NOR(134, 135)
T65: 	133 = INIT1
T66: 	133 = NOT(43)
T67: 	134 = INIT1
T68: 	134 = NOR(11, 133)
T69: 	135 = INIT1
T70: 	135 = NOR(11, 134)
T71: 	136 = INIT1
T72: 	136 = NOR(133, 134)
T73: 	137 = INIT1
T74: 	137 = NOR(135, 136)
T75: 	135 = INIT1
T76: 	135 = NOR(137, 132)
T77: 	136 = INIT1
T78: 	136 = NOR(135, 137)
