Serial Fixed Addition: 32-bit with 577 cycles and 101 cells total.
Supports both unsigned and signed numbers.

Inputs:
	 x (32-bit): 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 
	 y (32-bit): 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 
Outputs:
	 z (32-bit): 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 

T0:  	96  = INIT0
T1:  	97  = INIT1
T2:  	97  = NOR(0, 32)
T3:  	98  = INIT1
T4:  	98  = NOR(0, 97)
T5:  	99  = INIT1
T6:  	99  = NOR(32, 97)
T7:  	100 = INIT1
T8:  	100 = NOR(98, 99)
T9:  	98  = INIT1
T10: 	98  = NOR(100, 96)
T11: 	99  = INIT1
T12: 	99  = NOR(98, 100)
T13: 	100 = INIT1
T14: 	100 = NOR(98, 96)
T15: 	64  = INIT1
T16: 	64  = NOR(100, 99)
T17: 	96  = INIT1
T18: 	96  = NOR(97, 98)
T19: 	97  = INIT1
T20: 	97  = NOR(1, 33)
T21: 	98  = INIT1
T22: 	98  = NOR(1, 97)
T23: 	99  = INIT1
T24: 	99  = NOR(33, 97)
T25: 	100 = INIT1
T26: 	100 = NOR(98, 99)
T27: 	98  = INIT1
T28: 	98  = NOR(100, 96)
T29: 	99  = INIT1
T30: 	99  = NOR(98, 100)
T31: 	100 = INIT1
T32: 	100 = NOR(98, 96)
T33: 	65  = INIT1
T34: 	65  = NOR(100, 99)
T35: 	96  = INIT1
T36: 	96  = NOR(97, 98)
T37: 	97  = INIT1
T38: 	97  = NOR(2, 34)
T39: 	98  = INIT1
T40: 	98  = NOR(2, 97)
T41: 	99  = INIT1
T42: 	99  = NOR(34, 97)
T43: 	100 = INIT1
T44: 	100 = NOR(98, 99)
T45: 	98  = INIT1
T46: 	98  = NOR(100, 96)
T47: 	99  = INIT1
T48: 	99  = NOR(98, 100)
T49: 	100 = INIT1
T50: 	100 = NOR(98, 96)
T51: 	66  = INIT1
T52: 	66  = NOR(100, 99)
T53: 	96  = INIT1
T54: 	96  = NOR(97, 98)
T55: 	97  = INIT1
T56: 	97  = NOR(3, 35)
T57: 	98  = INIT1
T58: 	98  = NOR(3, 97)
T59: 	99  = INIT1
T60: 	99  = NOR(35, 97)
T61: 	100 = INIT1
T62: 	100 = NOR(98, 99)
T63: 	98  = INIT1
T64: 	98  = NOR(100, 96)
T65: 	99  = INIT1
T66: 	99  = NOR(98, 100)
T67: 	100 = INIT1
T68: 	100 = NOR(98, 96)
T69: 	67  = INIT1
T70: 	67  = NOR(100, 99)
T71: 	96  = INIT1
T72: 	96  = NOR(97, 98)
T73: 	97  = INIT1
T74: 	97  = NOR(4, 36)
T75: 	98  = INIT1
T76: 	98  = NOR(4, 97)
T77: 	99  = INIT1
T78: 	99  = NOR(36, 97)
T79: 	100 = INIT1
T80: 	100 = NOR(98, 99)
T81: 	98  = INIT1
T82: 	98  = NOR(100, 96)
T83: 	99  = INIT1
T84: 	99  = NOR(98, 100)
T85: 	100 = INIT1
T86: 	100 = NOR(98, 96)
T87: 	68  = INIT1
T88: 	68  = NOR(100, 99)
T89: 	96  = INIT1
T90: 	96  = NOR(97, 98)
T91: 	97  = INIT1
T92: 	97  = NOR(5, 37)
T93: 	98  = INIT1
T94: 	98  = NOR(5, 97)
T95: 	99  = INIT1
T96: 	99  = NOR(37, 97)
T97: 	100 = INIT1
T98: 	100 = NOR(98, 99)
T99: 	98  = INIT1
T100:	98  = NOR(100, 96)
T101:	99  = INIT1
T102:	99  = NOR(98, 100)
T103:	100 = INIT1
T104:	100 = NOR(98, 96)
T105:	69  = INIT1
T106:	69  = NOR(100, 99)
T107:	96  = INIT1
T108:	96  = NOR(97, 98)
T109:	97  = INIT1
T110:	97  = NOR(6, 38)
T111:	98  = INIT1
T112:	98  = NOR(6, 97)
T113:	99  = INIT1
T114:	99  = NOR(38, 97)
T115:	100 = INIT1
T116:	100 = NOR(98, 99)
T117:	98  = INIT1
T118:	98  = NOR(100, 96)
T119:	99  = INIT1
T120:	99  = NOR(98, 100)
T121:	100 = INIT1
T122:	100 = NOR(98, 96)
T123:	70  = INIT1
T124:	70  = NOR(100, 99)
T125:	96  = INIT1
T126:	96  = NOR(97, 98)
T127:	97  = INIT1
T128:	97  = NOR(7, 39)
T129:	98  = INIT1
T130:	98  = NOR(7, 97)
T131:	99  = INIT1
T132:	99  = NOR(39, 97)
T133:	100 = INIT1
T134:	100 = NOR(98, 99)
T135:	98  = INIT1
T136:	98  = NOR(100, 96)
T137:	99  = INIT1
T138:	99  = NOR(98, 100)
T139:	100 = INIT1
T140:	100 = NOR(98, 96)
T141:	71  = INIT1
T142:	71  = NOR(100, 99)
T143:	96  = INIT1
T144:	96  = NOR(97, 98)
T145:	97  = INIT1
T146:	97  = NOR(8, 40)
T147:	98  = INIT1
T148:	98  = NOR(8, 97)
T149:	99  = INIT1
T150:	99  = NOR(40, 97)
T151:	100 = INIT1
T152:	100 = NOR(98, 99)
T153:	98  = INIT1
T154:	98  = NOR(100, 96)
T155:	99  = INIT1
T156:	99  = NOR(98, 100)
T157:	100 = INIT1
T158:	100 = NOR(98, 96)
T159:	72  = INIT1
T160:	72  = NOR(100, 99)
T161:	96  = INIT1
T162:	96  = NOR(97, 98)
T163:	97  = INIT1
T164:	97  = NOR(9, 41)
T165:	98  = INIT1
